,count_of_variables,times_of_solves,ratios,logs
0,8,0.00019345760345458983,,
1,16,0.00040317773818969725,2.084062507702546,1.0593985493055194
2,32,0.0009294295310974121,2.30526004553384,1.204929503470623
3,64,0.002348322868347168,2.526628205555741,1.337213386695136
4,128,0.0052838468551635745,2.250051271221717,1.169957876062114
5,256,0.010736517906188965,2.031951000944858,1.0228656129633351
6,512,0.01880821704864502,1.7517986010905082,0.8088369222509816
7,1024,0.045603041648864744,2.4246339528578584,1.2777669599769135
8,2048,0.19686590909957885,4.316946896117393,2.1100113459429153
